timestamp,latitude,longitude,u_mean,u_std,v_mean,v_std,w_mean,w_std,wind_speed_mean,wind_speed_std,wind_from_mean,wind_from_std,gust_mean,gust_std
2026-01-30T04:19:58Z,47.687459,-122.260376,-247.163651,99.931793,-310.012299,129.294083,282.515533,113.244827,399.988007,154.628845,41.737968,36.442593,462.916992,0.0
2026-01-30T04:20:58Z,47.687452,-122.26038,-204.562149,117.299728,-286.521057,155.846054,246.492142,144.380356,354.811646,189.989746,29.341967,30.664299,462.85498,0.25
2026-01-30T04:21:58Z,47.687466,-122.260376,-197.600037,102.525871,-313.274475,149.070267,258.341949,137.832672,371.490082,178.648575,24.509848,16.723869,462.783783,0.375
2026-01-30T04:22:58Z,47.687479,-122.260378,-231.62912,62.353703,-366.347565,91.314789,306.11142,84.548157,433.790741,109.153702,29.938366,9.940036,462.877899,0.176777
2026-01-30T04:23:58Z,47.687477,-122.260378,-65.000648,112.708931,-120.401665,162.981155,79.716644,151.020813,140.463669,195.595856,1.907642,18.620464,462.685455,0.279509
2026-01-30T04:24:57Z,47.68747,-122.260372,-217.290695,84.298851,-342.800049,122.865143,285.092316,113.605125,406.545135,147.140717,27.669048,13.643293,462.849976,0.0
2026-01-30T04:25:57Z,47.687478,-122.260375,-177.872025,112.859337,-287.802216,165.290863,233.376541,152.888382,339.870941,197.520782,21.205908,18.646172,462.909149,0.125
2026-01-30T04:26:57Z,47.687475,-122.260384,-36.381981,91.866432,-81.787949,134.571487,41.694965,124.768356,93.442757,160.718109,357.430664,15.001928,249.986298,220.0811
2026-01-30T04:27:57Z,47.687468,-122.260391,-176.25885,114.628143,-283.847168,166.249786,229.882782,154.613022,335.762878,199.194183,21.037981,18.734976,462.934509,0.0
2026-01-30T04:28:57Z,47.687463,-122.260397,-183.583847,113.369453,-289.450562,162.229462,236.758484,151.228195,344.237305,195.336075,22.264137,18.398949,462.919464,0.0
2026-01-30T04:29:57Z,47.687478,-122.2604,-55.868618,109.114861,-104.069405,150.787842,64.160179,142.464935,121.956367,183.633926,1.623097,17.252432,462.817291,0.0
2026-01-30T04:30:57Z,47.687476,-122.260402,-159.978516,126.502205,-248.10318,175.323074,200.415161,165.032043,297.289154,213.327393,18.44257,20.401217,462.893921,0.0
2026-01-30T04:31:57Z,47.687467,-122.260385,-32.850281,89.521355,-71.853226,126.283516,35.48756,117.797623,82.760239,152.821411,357.025269,14.471395,175.806351,210.627869
2026-01-30T04:32:57Z,47.687468,-122.260401,-109.192932,127.390594,-181.366074,181.55983,136.862381,168.883759,214.605774,218.982635,9.659558,20.91375,462.971588,0.0
2026-01-30T04:33:57Z,47.687483,-122.260411,-253.484894,0.279509,-387.30658,0.599479,328.391968,0.467707,462.884735,0.0,33.203922,0.0,462.941254,0.450694
2026-01-30T04:34:57Z,47.687465,-122.260391,-224.186066,86.575676,-338.396088,121.099808,285.031464,113.757004,406.561768,147.102478,28.989653,13.117783,462.864594,0.0
2026-01-30T04:35:57Z,47.687467,-122.260399,-215.737976,120.963127,-284.966034,146.387589,248.042084,144.754105,358.799927,187.276443,28.125137,17.928308,462.933929,0.0
2026-01-30T04:36:57Z,47.687477,-122.260405,-308.554199,7.047274,-344.749542,6.284903,328.566193,0.0,462.7612,0.0,41.828873,1.168727,462.826843,0.25
2026-01-30T04:37:57Z,47.687467,-122.260391,-303.921204,80.64859,-308.495483,76.611183,305.784454,85.196648,433.398102,109.89782,42.279968,9.521579,462.854309,0.306186
2026-01-30T04:38:57Z,47.687474,-122.2604,-330.63266,31.566523,-317.966278,28.526167,325.371918,32.539761,458.765411,42.010044,45.80444,3.646308,462.90271,0.125
2026-01-30T04:39:56Z,47.687475,-122.260398,-326.517914,57.83807,-308.260437,51.153492,317.985352,58.953503,449.201874,76.276123,45.541569,6.923908,462.907806,0.0
2026-01-30T04:40:56Z,47.687473,-122.260388,-154.843704,166.572113,-155.976562,147.263611,142.535248,169.836197,222.371201,219.747665,25.02631,19.991707,462.96347,0.306186
2026-01-30T04:41:56Z,47.687473,-122.260394,-41.087067,106.176003,-56.113384,94.657852,26.368628,108.899208,72.849945,140.581726,11.550666,12.43521,213.524033,217.999084
2026-01-30T04:42:56Z,47.687456,-122.260387,-202.901596,163.552109,-198.926682,144.534225,191.252823,167.466415,286.074615,215.735092,31.42384,19.015474,462.855316,0.0
2026-01-30T04:43:56Z,47.687471,-122.260388,-160.816772,168.073837,-158.813522,145.811188,146.998596,170.291534,228.562103,219.892975,26.304605,19.825584,433.687195,109.528175
